"qu'est-ce donc ? qu'avez-vous ?","laissez-moi, je vous prie."
"et, cependant, mon coeur est, encore, assez lâche, pour ne pouvoir briser la chaîne qui l'attache,","quoi ! de mes sentiments l'obligeante assurance, contre tous vos soupçons, ne prend pas ma défense ?"
"et pour ne pas s'armer d'un généreux mépris contre l'ingrat objet dont il est trop épris !","auprès d'un tel garant, sont-ils de quelque poids ? n'est-ce pas m'outrager, que d'écouter leur voix ?"
"ah ! que vous savez bien, ici, contre moi-même, perfide, vous servir de ma faiblesse extrême,","et puisque notre coeur fait un effort extrême, lorsqu'il peut se résoudre à confesser qu'il aime ;"
"et ménager, pour vous, l'excès prodigieux de ce fatal amour, né de vos traîtres yeux !","puisque l'honneur du sexe, ennemi de nos feux, s'oppose fortement à de pareils aveux ;"
"défendez-vous, au moins, d'un crime qui m'accable, et cessez d'affecter d'être, envers moi, coupable ;","l'amant qui voit, pour lui, franchir un tel obstacle, doit-il, impunément, douter de cet oracle,"
"rendez-moi, s'il se peut, ce billet innocent, à vous prêter les mains ma tendresse consent ;","et n'est-il pas coupable, en ne s'assurant pas, à ce qu'on ne dit point qu'après de grands combats ?"
"efforcez-vous, ici, de paraître fidèle, et je m'efforcerai, moi, de vous croire telle.","allez, de tels soupçons méritent ma colère, et vous ne valez pas que l'on vous considère :"
"ciel ! rien de plus cruel peut-il être inventé : et, jamais, coeur fut-il de la sorte traité ?","je suis sotte, et veux mal à ma simplicité, de conserver, encor, pour vous, quelque bonté ;"
"quoi ! d'un juste courroux je suis ému contre elle, c'est moi qui me viens plaindre, et c'est moi qu'on querelle !","je devrais, autre part, attacher mon estime, et vous faire un sujet de plainte légitime."
"ah ! traîtresse, mon faible est étrange pour vous ! vous me trompez, sans doute, avec des mots si doux :","non, vous ne m'aimez point, comme il faut que l'on aime."
"mais, il n'importe, il faut suivre ma destinée, à votre foi, mon âme est toute abandonnée,","non, vous ne m'aimez point, comme il faut que l'on aime."
"je veux voir, jusqu'au bout, quel sera votre coeur : et si, de me trahir, il aura la noirceur.","non, vous ne m'aimez point, comme il faut que l'on aime."
"ah ! rien n'est comparable à mon amour extrême ; et, dans l'ardeur qu'il a de se montrer à tous,","c'est me vouloir du bien d'une étrange manière ! me préserve le ciel que vous ayez matière…"
"il va jusqu'à former des souhaits contre vous. oui, je voudrais qu'aucun ne vous trouvât aimable,","voici monsieur du bois, plaisamment figuré."
"que vous fussiez réduite en un sort misérable, que le ciel, en naissant, ne vous eût donné rien,","c'est me vouloir du bien d'une étrange manière ! me préserve le ciel que vous ayez matière…"
"que vous n'eussiez ni rang, ni naissance, ni bien, afin que, de mon coeur, l'éclatant sacrifice,","voici monsieur du bois, plaisamment figuré."
"vous pût d'un pareil sort, réparer l'injustice : et que j'eusse la joie, et la gloire, en ce jour,","c'est me vouloir du bien d'une étrange manière ! me préserve le ciel que vous ayez matière…"
"de vous voir tenir tout, des mains de mon amour.","voici monsieur du bois, plaisamment figuré."
"que veut cet équipage, et cet air effaré ? qu'as-tu ?","monsieur…"
"hé bien.","voici bien des mystères."
"qu'est-ce ?","nous sommes mal, monsieur, dans nos affaires."
"quoi ?","parlerai-je haut ?"
"oui, parle, et promptement.","n'est-il point là, quelqu'un…"
"ah ! que d'amusement ! veux-tu parler ?","monsieur, il faut faire retraite."
"comment ?","il faut, d'ici, déloger sans trompette."
"et pourquoi ?","je vous dis qu'il faut quitter ce lieu."
"la cause ?","il faut partir, monsieur, sans dire adieu."
"mais, par quelle raison, me tiens-tu ce langage ?","par la raison, monsieur, qu'il faut plier bagage."
"ah ! je te casserai la tête, assurément, si tu ne veux, maraut, t'expliquer autrement.","monsieur, un homme noir, et d'habit, et de mine, est venu nous laisser, jusque dans la cuisine,"
"ah ! je te casserai la tête, assurément, si tu ne veux, maraut, t'expliquer autrement.","un papier griffonné d'une telle façon, qu'il faudrait, pour le lire, être pis que démon."
"ah ! je te casserai la tête, assurément, si tu ne veux, maraut, t'expliquer autrement.","c'est de votre procès, je n'en fais aucun doute, mais le diable d'enfer, je crois, n'y verrait goutte."
"hé bien ? quoi ? ce papier, qu'a-t-il à démêler, traître, avec le départ dont tu viens me parler ?","c'est pour vous dire, ici, monsieur, qu'une heure ensuite, un homme, qui souvent vous vient rendre visite,"
"hé bien ? quoi ? ce papier, qu'a-t-il à démêler, traître, avec le départ dont tu viens me parler ?","est venu vous chercher avec empressement ; et ne vous trouvant pas, m'a chargé, doucement,"
"hé bien ? quoi ? ce papier, qu'a-t-il à démêler, traître, avec le départ dont tu viens me parler ?","sachant que je vous sers avec beaucoup de zèle, de vous dire… attendez, comme est-ce qu'il s'appelle ?"
"laisse là, son nom, traître, et dis ce qu'il t'a dit.","c'est un de vos amis, enfin, cela suffit. il m'a dit que, d'ici, votre péril vous chasse,"
"laisse là, son nom, traître, et dis ce qu'il t'a dit.","et que, d'être arrêté, le sort vous y menace."
"mais quoi ? n'a-t-il voulu te rien spécifier ?","non, il m'a demandé de l'encre, et du papier ; et vous a fait un mot, où vous pourrez, je pense,"
"mais quoi ? n'a-t-il voulu te rien spécifier ?","du fonds de ce mystère, avoir la connaissance."
"donne-le donc.","que peut envelopper ceci ?"
"je ne sais ; mais j'aspire à m'en voir éclairci. auras-tu bientôt fait, impertinent au diable ?","ma foi, je l'ai, monsieur, laissé sur votre table."
"je ne sais qui me tient…","ne vous emportez pas, et courez démêler un pareil embarras."
"il semble que le sort, quelque soin que je prenne, ait juré d'empêcher que je vous entretienne :","la résolution est prise, vous dis-je."
"mais, pour en triompher, souffrez à mon amour, de vous revoir, madame, avant la fin du jour.","la résolution est prise, vous dis-je."
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","non, vous avez beau faire, et beau me raisonner, rien de ce que je dis, ne me peut détourner :"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","trop de perversité règne au siècle où nous sommes, et je veux me tirer du commerce des hommes."
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","quoi ! contre ma partie, on voit, tout à la fois, l'honneur, la probité, la pudeur, et les lois :"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","on publie, en tous lieux, l'équité de ma cause : sur la foi de mon droit, mon âme se repose :"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","cependant, je me vois trompé par le succès, j'ai pour moi la justice, et je perds mon procès !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","un traître, dont on sait la scandaleuse histoire, est sorti triomphant d'une fausseté noire !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","toute la bonne foi cède à sa trahison ! il trouve, en m'égorgeant, moyen d'avoir raison !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","le poids de sa grimace, où brille l'artifice, renverse le bon droit, et tourne la justice !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","il fait, par un arrêt, couronner son forfait : et non content, encor, du tort que l'on me fait,"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","il court, parmi le monde, un livre abominable, et de qui la lecture est, même, condamnable !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","un livre à mériter la dernière rigueur, dont le fourbe a le front de me faire l'auteur !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","et, là-dessus, on voit oronte qui murmure, et tâche, méchamment, d'appuyer l'imposture !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","lui, qui d'un honnête homme, à la cour tient le rang ! à qui je n'ai rien fait, qu'être sincère, et franc !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","qui me vient, malgré moi, d'une ardeur empressée, sur des vers qu'il a faits, demander ma pensée !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","et parce que j'en use avec honnêteté, et ne le veux trahir, lui, ni la vérité,"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","il aide à m'accabler d'un crime imaginaire : le voilà devenu mon plus grand adversaire !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","et jamais, de son cœur, je n'aurai de pardon, pour n'avoir pas trouvé que son sonnet fût bon !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","et les hommes, morbleu, sont faits de cette sorte ! c'est à ces actions que la gloire les porte !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","voilà la bonne foi, le zèle vertueux, la justice, et l'honneur, que l'on trouve chez eux !"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","allons, c'est trop souffrir les chagrins qu'on nous forge, tirons-nous de ce bois, et de ce coupe-gorge ;"
"mais, quel que soit ce coup, faut-il qu'il vous oblige…","puisque entre humains, ainsi, vous vivez en vrais loups, traîtres, vous ne m'aurez de ma vie, avec vous."
"je trouve un peu bien prompt, le dessein où vous êtes, et tout le mal n'est pas si grand que vous le faites :","lui ! de semblables tours, il ne craint point l'éclat, il a permission d'être franc scélérat ;"
"ce que votre partie ose vous imputer, n'a point eu le crédit de vous faire arrêter ;","et loin qu'à son crédit nuise cette aventure, on l'en verra, demain, en meilleure posture."
"on voit son faux rapport, lui-même, se détruire, et c'est une action qui pourrait bien lui nuire.","lui ! de semblables tours, il ne craint point l'éclat, il a permission d'être franc scélérat ;"
"enfin, il est constant qu'on n'a point trop donné au bruit que, contre vous, sa malice a tourné :","non, je veux m'y tenir. quelque sensible tort qu'un tel arrêt me fasse,"
"de ce côté, déjà, vous n'avez rien à craindre : et pour votre procès, dont vous pouvez vous plaindre,","je me garderai bien de vouloir qu'on le casse : on y voit trop à plein le bon droit maltraité,"
"il vous est, en justice, aisé d'y revenir, et contre cet arrêt…","et je veux qu'il demeure à la postérité, comme une marque insigne, un fameux témoignage,"
"enfin, il est constant qu'on n'a point trop donné au bruit que, contre vous, sa malice a tourné :","de la méchanceté des hommes de notre âge. ce sont vingt mille francs qu'il m'en pourra coûter,"
"de ce côté, déjà, vous n'avez rien à craindre : et pour votre procès, dont vous pouvez vous plaindre,","mais, pour vingt mille francs, j'aurai droit de pester contre l'iniquité de la nature humaine,"
"il vous est, en justice, aisé d'y revenir, et contre cet arrêt…","et de nourrir, pour elle, une immortelle haine."
"mais, enfin…","mais, enfin, vos soins sont superflus : que pouvez-vous, monsieur, me dire là-dessus ?"
"mais, enfin…","aurez-vous bien le front de me vouloir, en face, excuser les horreurs de tout ce qui se passe ?"
"non, je tombe d'accord de tout ce qu'il vous plaît, tout marche par cabale, et par pur intérêt ;","je sais que vous parlez, monsieur, le mieux du monde, en beaux raisonnements, vous abondez toujours,"
"ce n'est plus que la ruse aujourd'hui, qui l'emporte, et les hommes devraient être faits d'autre sorte.","mais vous perdez le temps, et tous vos beaux discours. la raison, pour mon bien, veut que je me retire,"
"mais est-ce une raison, que leur peu d'équité, pour vouloir se tirer de leur société ?","je n'ai point, sur ma langue, un assez grand empire ; de ce que je dirais, je ne répondrais pas,"
"tous ces défauts humains nous donnent, dans la vie, des moyens d'exercer notre philosophie,","et je me jetterais cent choses sur les bras. laissez-moi, sans dispute, attendre célimène."
"c'est le plus bel emploi que trouve la vertu ; et si, de probité, tout était revêtu,","il faut qu'elle consente au dessein qui m'amène ; je vais voir si son cœur a de l'amour pour moi,"
"si tous les coeurs étaient, francs, justes, et dociles, la plupart des vertus nous seraient inutiles,","et c'est ce moment-ci, qui doit m'en faire foi."
"puisqu'on en met l'usage à pouvoir, sans ennui, supporter dans nos droits, l'injustice d'autrui :","je sais que vous parlez, monsieur, le mieux du monde, en beaux raisonnements, vous abondez toujours,"
"et de même qu'un cœur, d'une vertu profonde…","mais vous perdez le temps, et tous vos beaux discours. la raison, pour mon bien, veut que je me retire,"
"montons chez eliante, attendant sa venue.","non, de trop de souci, je me sens l'âme émue, allez-vous-en la voir, et me laissez enfin,"
"montons chez eliante, attendant sa venue.","dans ce petit coin sombre, avec mon noir chagrin."
"c'est une compagnie étrange, pour attendre, et je vais obliger eliante à descendre.","oui, c'est à vous, de voir, si par des noeuds si doux, madame, vous voulez m'attacher tout à vous :"
"c'est une compagnie étrange, pour attendre, et je vais obliger eliante à descendre.","il me faut de votre âme, une pleine assurance, un amant, là-dessus, n'aime point qu'on balance :"
"c'est une compagnie étrange, pour attendre, et je vais obliger eliante à descendre.","si l'ardeur de mes feux a pu vous émouvoir, vous ne devez point feindre à me le faire voir ;"
"c'est une compagnie étrange, pour attendre, et je vais obliger eliante à descendre.","et la preuve, après tout, que je vous en demande, c'est de ne plus souffrir qu'alceste vous prétende,"
"c'est une compagnie étrange, pour attendre, et je vais obliger eliante à descendre.","de le sacrifier, madame, à mon amour, et, de chez vous, enfin, le bannir dès ce jour."
"mais quel sujet si grand, contre lui, vous irrite, vous, à qui j'ai tant vu parler de son mérite ?","madame, il ne faut point ces éclaircissements, il s'agit de savoir quels sont vos sentiments :"
"mais quel sujet si grand, contre lui, vous irrite, vous, à qui j'ai tant vu parler de son mérite ?","choisissez, s'il vous plaît, de garder l'un, ou l'autre, ma résolution n'attend rien que la vôtre."
"oui, monsieur a raison ; madame, il faut choisir, et sa demande, ici, s'accorde à mon désir ;","je ne veux point, monsieur, d'une flamme importune, troubler, aucunement, votre bonne fortune."
"pareille ardeur me presse, et même soin m'amène, mon amour veut du vôtre, une marque certaine.","je ne veux point, monsieur, d'une flamme importune, troubler, aucunement, votre bonne fortune."
"les choses ne sont plus pour traîner en longueur, et voici le moment d'expliquer votre coeur.","je ne veux point, monsieur, d'une flamme importune, troubler, aucunement, votre bonne fortune."
"je ne veux point, monsieur, jaloux, ou non jaloux, partager de son cœur, rien du tout avec vous.","si votre amour, au mien, lui semble préférable…"
"si du moindre penchant elle est pour vous capable…","je jure de n'y rien prétendre désormais."
"je jure, hautement, de ne la voir jamais.","madame, c'est à vous de parler sans contrainte."
"madame, vous pouvez vous expliquer sans crainte.","vous n'avez qu'à nous dire où s'attachent vos voeux."
"vous n'avez qu'à trancher, et choisir de nous deux.","quoi ! sur un pareil choix, vous semblez être en peine !"
"quoi ! votre âme balance, et paraît incertaine !","mon dieu ! que cette instance est là, hors de saison : et que vous témoignez, tous deux, peu de raison !"
"quoi ! votre âme balance, et paraît incertaine !","je sais prendre parti sur cette préférence, et ce n'est pas mon cœur, maintenant, qui balance :"
"quoi ! votre âme balance, et paraît incertaine !","il n'est point suspendu, sans doute, entre vous deux, et rien n'est si tôt fait, que le choix de nos voeux."
"quoi ! votre âme balance, et paraît incertaine !","mais je souffre, à vrai dire, une gêne trop forte, à prononcer en face, un aveu de la sorte :"
"quoi ! votre âme balance, et paraît incertaine !","je trouve que ces mots, qui sont désobligeants, ne se doivent point dire en présence des gens :"
"quoi ! votre âme balance, et paraît incertaine !","qu'un cœur, de son penchant, donne assez de lumière, sans qu'on nous fasse aller, jusqu'à rompre en visière :"
"quoi ! votre âme balance, et paraît incertaine !","et qu'il suffit, enfin, que de plus doux témoins instruisent un amant du malheur de ses soins."
"non, non, un franc aveu n'a rien que j'appréhende, j'y consens pour ma part.","et moi, je le demande ; c'est son éclat, surtout, qu'ici j'ose exiger,"
"non, non, un franc aveu n'a rien que j'appréhende, j'y consens pour ma part.","et je ne prétends point vous voir rien ménager. conserver tout le monde, est votre grande étude,"
"non, non, un franc aveu n'a rien que j'appréhende, j'y consens pour ma part.","mais plus d'amusement, et plus d'incertitude ; il faut vous expliquer, nettement, là-dessus,"
"non, non, un franc aveu n'a rien que j'appréhende, j'y consens pour ma part.","ou bien, pour un arrêt, je prends votre refus : je saurai, de ma part, expliquer ce silence,"
"non, non, un franc aveu n'a rien que j'appréhende, j'y consens pour ma part.","et me tiendrai pour dit, tout le mal que j'en pense."
"je vous sais fort bon gré, monsieur, de ce courroux, et je lui dis, ici, même chose que vous.","que vous me fatiguez avec un tel caprice ! ce que vous demandez, a-t-il de la justice :"
"je vous sais fort bon gré, monsieur, de ce courroux, et je lui dis, ici, même chose que vous.","et ne vous dis-je pas quel motif me retient ? j'en vais prendre pour juge, éliante qui vient."
"je me vois, ma cousine, ici persécutée par des gens dont l'humeur y paraît concertée.","n'allez point, là-dessus, me consulter ici ; peut-être, y pourriez-vous être mal adressée,"
"ils veulent l'un, et l'autre, avec même chaleur, que je prononce, entre eux, le choix que fait mon cœur :","et je suis pour les gens qui disent leur pensée."
"et que, par un arrêt qu'en face il me faut rendre, je défende à l'un d'eux tous les soins qu'il peut prendre.","n'allez point, là-dessus, me consulter ici ; peut-être, y pourriez-vous être mal adressée,"
"dites-moi si, jamais, cela se fait ainsi.","et je suis pour les gens qui disent leur pensée."
"madame, c'est en vain que vous vous défendez.","tous vos détours, ici, seront mal secondés."
"il faut, il faut parler, et lâcher la balance.","il ne faut que poursuivre à garder le silence."
"je ne veux qu'un seul mot, pour finir nos débats.","et moi, je vous entends, si vous ne parlez pas."
"madame, nous venons tous deux, sans vous déplaire, éclaircir, avec vous, une petite affaire.","fort à propos, messieurs, vous vous trouvez ici, et vous êtes mêlés dans cette affaire, aussi."
"madame, vous serez surprise de ma vue, mais ce sont ces messieurs qui causent ma venue ;","oui, madame, voyons, d'un esprit adouci, comment vous vous prendrez à soutenir ceci ?"
"tous deux ils m'ont trouvée, et se sont plaints à moi, d'un trait, à qui mon coeur ne saurait prêter foi.","cette lettre, par vous, est écrite à clitandre ?"
"j'ai du fond de votre âme, une trop haute estime, pour vous croire, jamais, capable d'un tel crime,","oui, madame, voyons, d'un esprit adouci, comment vous vous prendrez à soutenir ceci ?"
"mes yeux ont démenti leurs témoins les plus forts : et l'amitié passant sur de petits discords,","cette lettre, par vous, est écrite à clitandre ?"
"j'ai bien voulu, chez vous, leur faire compagnie, pour vous voir vous laver de cette calomnie.","oui, madame, voyons, d'un esprit adouci, comment vous vous prendrez à soutenir ceci ?"
"vous avez, pour acaste, écrit ce billet tendre ?","messieurs, ces traits, pour vous, n'ont point d'obscurité, et je ne doute pas que sa civilité,"
"vous avez, pour acaste, écrit ce billet tendre ?","à connaître sa main, n'ait trop su vous instruire : mais ceci vaut, assez, la peine de le lire."
"vous avez, pour acaste, écrit ce billet tendre ?","vous êtes un étrange homme de condamner mon enjouement  et de me reprocher que je n'ai ja mais tant de joie que lorsque je ne suis pas avec vous. il n'y a rien de plus injuste "
"vous avez, pour acaste, écrit ce billet tendre ?"," et si vous ne venez bien vite me demander pardon de cette offense je ne vous la pardonnerai de ma vie. notre grand flandrin de vicomte..."
"vous avez, pour acaste, écrit ce billet tendre ?","il devrait être ici. notre grand flandrin de vicomte par qui vous commencez vos plaintes"
"vous avez, pour acaste, écrit ce billet tendre ?","est un homme qui ne saurait me revenir  et depuis que je l'ai vu troisquarts d'heure durant cracher dans un puits pour faire des ronds"
"vous avez, pour acaste, écrit ce billet tendre ?","je n'ai pu jamais prendre bonne opinion de lui. pour le petit marquis... c'est moi-même, messieurs, sans nulle vanité."
"vous avez, pour acaste, écrit ce billet tendre ?","pour le petit marquis qui me tint hier longtemps la main je trouve qu'il n'y a rien de si mince que toute sa personne   et ce sont de ces mérites qui n'ont que la cape  et l'épée. pour l'homme aux rubans verts..."
"vous avez, pour acaste, écrit ce billet tendre ?","à vous le dé, monsieur. pour l'homme aux rubans verts il me divertit quelquefois avec ses brusqueries"
"vous avez, pour acaste, écrit ce billet tendre ?"," et son chagrin bourru   mais il est cent moments où je le trouve le plus fâcheux du monde. voici votre paquet."
"vous avez, pour acaste, écrit ce billet tendre ?"," et pour l'homme à la veste qui s'est jeté dans le bel esprit  et veut être auteur malgré tout le monde je ne puis me donner la peine d'écouter ce qu'il dit "
"vous avez, pour acaste, écrit ce billet tendre ?"," et sa prose me fatigue autant que ses vers. mettez-vous donc en tête que je ne me divertis pas toujours si bien que vous pensez "
"vous avez, pour acaste, écrit ce billet tendre ?","que je vous trouve à dire plus que je ne voudrais dans toutes les parties où l'on m'entraîne   et que c'est un merveilleux assaisonnement aux plaisirs qu'on goûte"
"me voici maintenant, moi. votre clitandre dont vous me parlez  et qui fait tant le doucereux","j'aurais de quoi vous dire, et belle est la matière, mais je ne vous tiens pas digne de ma colère ;"
"est le dernier des hommes pour qui j'aurais de l'amitié. il est extravagant de se persuader qu'on l'aime   et vous l'êtes de croire qu'on ne vous aime pas. changez pour être raisonnable","et je vous ferai voir, que les petits marquis ont, pour se consoler, des coeurs du plus haut prix."
"vos sentiments contre les siens  et voyez-moi le plus que vous pourrez d'un fort beau caractère, on voit là, le modèle,","j'aurais de quoi vous dire, et belle est la matière, mais je ne vous tiens pas digne de ma colère ;"
"madame, et vous savez comment cela s'appelle ? il suffit, nous allons l'un, et l'autre, en tous lieux,","et je vous ferai voir, que les petits marquis ont, pour se consoler, des coeurs du plus haut prix."
"montrer, de votre cœur, le portrait glorieux.","j'aurais de quoi vous dire, et belle est la matière, mais je ne vous tiens pas digne de ma colère ;"
"quoi ! de cette façon je vois qu'on me déchire, après tout ce qu'à moi, je vous ai vu m'écrire :","certes, voilà le trait du monde le plus noir, je ne m'en saurais taire, et me sens émouvoir."
"et votre coeur paré de beaux semblants d'amour, à tout le genre humain se promet tour à tour !","voit-on des procédés qui soient pareils aux vôtres ? je ne prends point de part aux intérêts des autres :"
"allez, j'étais trop dupe, et je vais ne plus l'être. vous me faites un bien, me faisant vous connaître ;","mais, monsieur, que, chez vous, fixait votre bonheur, un homme, comme lui, de mérite et d'honneur,"
"j'y profite d'un cœur, qu'ainsi vous me rendez, et trouve ma vengeance, en ce que vous perdez.","et qui vous chérissait avec idolâtrie, devait-il..."
"à alceste. monsieur, je ne fais plus d'obstacle à votre flamme,","certes, voilà le trait du monde le plus noir, je ne m'en saurais taire, et me sens émouvoir."
"et vous pouvez conclure affaire avec madame.","voit-on des procédés qui soient pareils aux vôtres ? je ne prends point de part aux intérêts des autres :"
"laissez-moi, madame, je vous prie, vider mes intérêts, moi-même, là-dessus,","hé ! croyez-vous, monsieur, qu'on ait cette pensée, et que, de vous avoir, on soit tant empressée ?"
"et ne vous chargez point de ces soins superflus. mon coeur a beau vous voir prendre, ici, sa querelle,","je vous trouve un esprit bien plein de vanité, si, de cette créance, il peut s'être flatté :"
"il n'est point en état de payer ce grand zèle ; et ce n'est pas à vous, que je pourrai songer,","le rebut de madame, est une marchandise, dont on aurait grand tort d'être si fort éprise."
"si, par un autre choix, je cherche à me venger.","détrompez-vous, de grâce, et portez-le moins haut : ce ne sont pas des gens, comme moi, qu'il vous faut ;"
"laissez-moi, madame, je vous prie, vider mes intérêts, moi-même, là-dessus,","vous ferez bien, encor, de soupirer pour elle, et je brûle de voir, une union si belle."
"et ne vous chargez point de ces soins superflus. mon coeur a beau vous voir prendre, ici, sa querelle,","elle se retire."
"hé bien, je me suis tu, malgré ce que je vois, et j'ai laissé parler tout le monde, avant moi.","oui, vous pouvez tout dire, vous en êtes en droit, lorsque vous vous plaindrez,"
"ai-je pris sur moi-même, un assez long empire, et puis-je maintenant...","et de me reprocher tout ce que vous voudrez. j'ai tort, je le confesse, et mon âme confuse"
"hé bien, je me suis tu, malgré ce que je vois, et j'ai laissé parler tout le monde, avant moi.","ne cherche à vous payer, d'aucune vaine excuse : j'ai des autres, ici, méprisé le courroux,"
"ai-je pris sur moi-même, un assez long empire, et puis-je maintenant...","mais je tombe d'accord de mon crime envers vous. votre ressentiment, sans doute, est raisonnable,"
"hé bien, je me suis tu, malgré ce que je vois, et j'ai laissé parler tout le monde, avant moi.","je sais combien je dois vous paraître coupable, que toute chose dit, que j'ai pu vous trahir,"
"ai-je pris sur moi-même, un assez long empire, et puis-je maintenant...","et, qu'enfin, vous avez sujet de me haïr. faites-le, j'y consens."
"hé le puis-je, traîtresse, puis-je, ainsi, triompher de toute ma tendresse ?","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"et quoique avec ardeur, je veuille vous haïr, trouvé-je un cœur, en moi, tout prêt à m'obéir ?","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"à éliante, et philinte. vous voyez ce que peut une indigne tendresse,","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"et je vous fais tous deux témoins de ma faiblesse. mais, à vous dire vrai, ce n'est pas encor, tout,","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"et vous allez me voir la pousser jusqu'au bout, montrer que c'est à tort, que sages on nous nomme,","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"et que, dans tous les cœurs, il est toujours de l'homme. oui, je veux bien, perfide, oublier vos forfaits,","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"j'en saurai, dans mon âme, excuser tous les traits, et me les couvrirai du nom d'une faiblesse,","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"où le vice du temps, porte votre jeunesse ; pourvu que votre coeur veuille donner les mains","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"au dessein que j'ai fait de fuir tous les humains, et que, dans mon désert, où j'ai fait voeu de vivre,","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"vous soyez, sans tarder, résolue à me suivre. c'est par là, seulement, que, dans tous les esprits,","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"vous pouvez réparer le mal de vos écrits ; et qu'après cet éclat, qu'un noble coeur abhorre,","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"il peut m'être permis de vous aimer encore.","moi, renoncer au monde, avant que de vieillir ! et dans votre désert aller m'ensevelir !"
"et s'il faut qu'à mes feux votre flamme réponde, que vous doit importer tout le reste du monde ?","la solitude effraye une âme de vingt ans ; je ne sens point la mienne assez grande, assez forte,"
"vos désirs, avec moi, ne sont-ils pas contents ?","pour me résoudre à prendre un dessein de la sorte. si le don de ma main peut contenter vos voeux,"
"et s'il faut qu'à mes feux votre flamme réponde, que vous doit importer tout le reste du monde ?","je pourrai me résoudre à serrer de tels nœuds : et l'hymen…"
"non, mon cœur, à présent, vous déteste, et ce refus, lui seul, fait plus que tout le reste :","vous pouvez suivre cette pensée, ma main, de se donner, n'est pas embarrassée ;"
"puisque vous n'êtes point, en des liens si doux, pour trouver tout en moi, comme moi tout en vous,","et voilà votre ami, sans trop m'inquiéter, qui, si je l'en priais, la pourrait accepter."
"allez, je vous refuse, et ce sensible outrage, de vos indignes fers, pour jamais me dégage.","vous pouvez suivre cette pensée, ma main, de se donner, n'est pas embarrassée ;"
"célimène se retire, et alceste parle à éliante. madame, cent vertus ornent votre beauté,","et voilà votre ami, sans trop m'inquiéter, qui, si je l'en priais, la pourrait accepter."
"et je n'ai vu, qu'en vous, de la sincérité : de vous, depuis longtemps, je fais un cas extrême,","vous pouvez suivre cette pensée, ma main, de se donner, n'est pas embarrassée ;"
"mais laissez-moi, toujours, vous estimer de même : et souffrez que mon coeur, dans ses troubles divers,","et voilà votre ami, sans trop m'inquiéter, qui, si je l'en priais, la pourrait accepter."
"ne se présente point à l'honneur de vos fers ; je m'en sens trop indigne, et commence à connaître,","vous pouvez suivre cette pensée, ma main, de se donner, n'est pas embarrassée ;"
"que le ciel, pour ce nœud, ne m'avait point fait naître ; que ce serait, pour vous, un hommage trop bas,","et voilà votre ami, sans trop m'inquiéter, qui, si je l'en priais, la pourrait accepter."
"que le rebut d'un coeur qui ne vous valait pas : et qu'enfin…","vous pouvez suivre cette pensée, ma main, de se donner, n'est pas embarrassée ;"
