"quand la neige fondue enfle un torrent fameux, contre l'effort soudain de ses flots écumeux","le foudre menaçant qui perce avec fureur l'affreuse obscurité de la nue enflammée,"
"c'est un médecin de la médecine qui me ressemble comme deux gouttes d'eau  et si je ne savais que ma mère était honnête femme je croirais que ce serait quelque petit frère qu'elle m'aurait donné depuis le trépas de mon père.","dis-lui qu'il prenne la peine d'entrer c'est sans doute un médecin qui vient de la part de monsieur purgon pour nous bien remettre ensemble il faut voir ce que c'est  et ne pas laisser échapper une si belle occasion de me raccommoder avec lui."
"monsieur quoique je n'aie pas l'honneur d'être connu de vous ayant appris que vous êtes malade je viens vous offrir mon service pour toutes les purgations et les saignées dont vous aurez besoin.","ma foi, mon frère, c'est toinette elle-même."
"monsieur je vous demande pardon j'ai une petite affaire en ville permettez-moi d'y envoyer mon val et que j'ai laissé à votre porte","je crois sûrement que c'est elle ; qu'en croyez-vous ?"
"elle sort.","je crois sûrement que c'est elle ; qu'en croyez-vous ?"
"pourquoi voulez-vous cela ? sont-ce les premiers qui ont quelque ressemblance  et ne voyons-nous pas souvent arriver de ces sortes de choses ?","que voulez-vous, monsieur ?"
"quoi ?","ne m'avez-vous pas appelée ?"
"moi ? tu te trompes.","il faut donc que les oreilles m'aient corné."
"demeure, demeure, pour voir ce médecin qui te ressemble si fort.","ah, vraiment oui ; je l'ai assez vu."
"ma foi, mon frère, cela est admirable, et je ne le croirais pas, si je ne les voyais tous deux ensemble.","cela n'est point si surprenant notre siècle nous en fournit plusieurs exemples   et vous devez ce me semble vous souvenir de quelques-uns qui ont fait tant de bruit dans le monde."
"monsieur, excusez-moi s'il vous plaît.","je ne puis sortir de mon étonnement, et il semble que c'est elle-même."
"je suis un médecin passager courant de villes en villes  et de royaumes en royaumes pour chercher d'illustres malades  et pour trouver d'amples matières à ma capacité. je ne suis pas de ces médecins d'ordinaire","je vous suis trop obligé, monsieur ; cela n'est point nécessaire."
"qui ne s'amusent qu'à des bagatelles de fiévrottes de rhumatismes de migraines  et autres maladies de peu de conséquence : je veux de bonnes fièvres continues","je vous suis trop obligé, monsieur ; cela n'est point nécessaire."
"avec des transports au cerveau de bonnes oppressions de poitrine de bons maux de côté de bonnes fièvres pourprées de bonnes véroles","je vous suis trop obligé, monsieur ; cela n'est point nécessaire."
"de bonnes pestes. c'est là où je me plais  c'est là où je triomphe   et je voudrais monsieur que vous eussiez toutes ces maladies ensemble ","je vous suis trop obligé, monsieur ; cela n'est point nécessaire."
"que vous fussiez abandonné de tous les médecins  et à l'agonie pour vous montrer la longue et grande expérience que j'ai dans notre art","je vous suis trop obligé, monsieur ; cela n'est point nécessaire."
"je vois que vous me regardez fixement, quel âge croyez-vous bien que j'aie ?","je ne le puis savoir au juste, pourtant vous avez bien vingt-sept ou vingt-huit ans au plus."
"bon, j'en ai quatre-vingt dix.","quatre-vingt dix ? voilà un beau jeune vieillard."
"oui quatre-vingt dix ans  et j'ai su me maintenir toujours frais  et jeune comme vous voyez par la vertu  et la bonté de mes remèdes.","monsieur purgon."
"donnez-moi bien votre pouls : allons donc voilà un pouls bien impertinent  ah je vois bien que vous ne me connaissez pas encore je vous ferai bien aller comme il faut.","monsieur purgon."
"monsieur purgon ? ce nom ne m'est point connu  et n'est point écrit sur mes tablettes dans le rang des grands  et fameux médecins qui y sont : quittez-moi c et homme ce n'est point du tout votre affaire","on le tient pourtant en grande réputation."
"il faut que ce soit peu de chose je veux vous en donner un de ma main.","on le tient pourtant en grande réputation."
"de quoi dit-il que vous êtes malade ?","il dit que c'est de la rate, d'autres disent que c'est du foie."
"l'ignorant ! c'est du poumon que vous êtes malade.","du poumon ?"
"oui, du poumon : n'avez-vous pas grand appétit à ce que vous mangez ?","eh oui."
"c'est justement le poumon : ne trouvez-vous pas le vin bon ?","oui."
"le poumon ; ne rêvez-vous point pendant la nuit ?","oui, oui, même assez souvent."
"le poumon ; ne faites-vous point un petit sommeil après le repas?","ah oui tous les jours."
"le poumon ; le poumon, vous dis-je.","ah ! mon frère, le poumon."
"que vous ordonne-t-il de manger ?","du potage."
"l'ignorant !","de prendre force bouillons."
"l'ignorant !","du bouilli."
"l'ignorant !","du veau, et des poulets."
"l'ignorant !","et le soir de petits pruneaux pour lâcher le ventre."
"*ignorantus ignoranta ignorantum. * et moi je vous ordonne de bon gros pain bis de bon gros bœuf de bons gros pois de bon fromage d'hollande ","mais voyez un peu, mon frère, quelle ordonnance."
" et afin que vous ne crachiez plus des marrons  et des oublies","mais voyez un peu, mon frère, quelle ordonnance."
"croyez-moi exécutez-la vous vous en trouverez bien. à propos je m'aperçois ici d'une chose.","ce que j'en fais? la belle demande!"
"si vous me croyez, vous vous le ferez couper tout à l'heure.","et la raison ?"
"ne voyez-vous pas qu'il attire à lui toute la nourriture, et qu'il empêche l'autre côté de profiter ?","eh ! je ne me soucie pas de cela, j'aime bien mieux les avoir tous deux."
"si j'étais aussi en votre place, je me ferais crever cet œil-ci tout à l'heure.","et pourquoi le faire crever ?"
"n'en verrez-vous pas une fois plus clair de l'autre ? faites-le, vous dis-je, et tout à présent.","je suis votre serviteur, j'aime beaucoup mieux ne voir pas si clair de l'un, et n'en avoir point de manque."
"excusez-moi monsieur si je suis obligé de vous quitter si tôt je vous verrai quelquefois pendant le séjour que je ferai en cette ville","pourquoi une consultation pour un malade qui mourut hier ?"
" mais je suis obligé de me trouver aujourd'hui à une consultation qui se doit faire pour un malade qui mourut hier.","pourquoi une consultation pour un malade qui mourut hier ?"
"pour aviser aux remèdes qu'il eût fallu lui faire pour le guérir, et s'en servir dans une semblable occasion.","monsieur, je ne vous reconduis point, vous savez que les malades en sont exempts."
"hé bien, mon frère, que dites-vous de ce médecin ?","comment diable? il me semble qu'il va bien vite en besogne."
"comme font tous ces grands médecins, et il ne le serait pas s'il faisait autrement.","couper un bras, crever un œil, voyez quelle plaisante opération, de me faire borgne et manchot."
"doucement, doucement, monsieur le médecin, modérez, s'il vous plaît, votre appétit.","qu'as-tu donc, toinette ?"
"vraiment votre médecin veut rire, ma foi il a voulu mettre sa main sur mon sein en sortant.","cela est étonnant, à son âge, qui pourrait croire cela, qu'à quatre-vingt-dix ans l'on fût encore si gaillard?"
"enfin mon frère puisque vous avez rompu avec monsieur purgon  qu'il n'y a plus d'espérance d'y pouvoir renouer  et qu'il a déchiré les articles d'entre son neveu ","je vous prie mon frère ne parlons point de cela je sais bien ce que j'ai à faire"
"et votre fille rien ne vous peut plus empêcher d'accepter le parti que je vous propose pour ma nièce :","je vous prie mon frère ne parlons point de cela je sais bien ce que j'ai à faire"
"vous voulez faire plaisir à quelqu'un.","ô çà voilà encore la pauvre femme en jeu."
"hé bien oui mon frère c'est d'elle dont je veux parler   et non plus que l'entêtement des médecins","vous ne la connaissez pas mon frère c'est une femme qui a trop d'amitié pour moi. demandez-lui les caresses qu'elle me fait à moins que de les voir on ne le croirait pas."
"monsieur a raison  et on ne peut pas concevoir l'amitié qu'elle a pour lui  voulez-vous que je vous fasse voir comme madame aime monsieur ?","comment ?"
"eh monsieur laissez-moi faire, souffrez que je le détrompe, et que je lui fasse voir son bec jaune.","que faut-il faire pour cela ?"
"j'entends madame qui revient de ville. vous monsieur cachez-vous dans ce petit endroit  et prenez garde surtout que l'on ne vous voie  approchons votre chaise","oui, oui, oui, oui ; bon, bon, bon, bon."
"mettez-vous dedans tout de votre long  et contrefaites le mort. vous verrez par le regr et qu'elle témoignera de votre perte l'amitié qu'elle vous porte :","oui, oui, oui, oui ; bon, bon, bon, bon."
"ah ciel ! quelle cruelle aventure ! quel malheur imprévu vient de m'arriver ? que ferai-je malheureuse ?  et comment annoncer à madame de si méchantes nouvelles ?","qu'as-tu, toinette ?"
"ah madame ! quelle perte venez-vous de faire ? monsieur vient de mourir tout à l'heure subitement  j'étais seule ici  et il n'y avait personne pour le secourir.","quoi, mon mari est mort ?"
"hélas ! oui, le pauvre homme défunt est trépassé.","le ciel en soit loué, me voila délivrée d'un grand fardeau : que tu es folle, toinette, de pleurer !"
"moi, madame? et je croyais qu'il fallût pleurer.","bon  et je voudrais bien savoir pour quelle raison ai-je fait une si grande perte : quoi ? pleurer un homme mal bâti mal fait sans esprit de mauvaise humeur"
"moi, madame? et je croyais qu'il fallût pleurer.","fort âgé toujours toussant mouchant crachant reniflant fâcheux ennuyeux incommode à tout le monde grondant sans cesse  et sans raison"
"moi, madame? et je croyais qu'il fallût pleurer.","toujours un lavement ou une médecine dans le corps de méchante odeur :"
"voila une belle oraison funèbre.","je ne prétends pas avoir passé la plus grande partie de ma jeunesse avec lui sans y profiter de quelque chose  et il faut toinette que tu m'aides à bien faire mes affaires sûrement"
"ah ! madame, je n'ai garde de manquer à mon devoir.","puisque tu m'assures que sa mort n'est sue de personne saisissons-nous de l'argent  et de tout ce qu'il y a de meilleur  portons-le dans son lit"
"ah ! madame, je n'ai garde de manquer à mon devoir."," et quand j'aurai tout mis à couvert nous ferons en sorte que quelque autre l'y trouve mort  et ainsi on ne se doutera point de ce que nous aurons fait. il faut d'abord que je lui prenne ses clefs qui sont dans cette poche."
"tout beau tout beau madame la carogne : ah ah je suis ravi d'avoir entendu le bel éloge que vous avez fait de moi ","quoi, le défunt n'est pas mort ?"
"hé bien, mon frère, voyez-vous à présent comme votre femme vous aime.","ah vraiment oui, je le vois, je ne le vois que trop."
"je vous jure que j'ai bien été trompée  et je n'eusse ja mais cru cela.  mais j'aperçois votre fille retournez-vous-en où vous étiez ","tu as raison, tu as raison."
" et vous remettez dans votre chaise il est bon aussi de l'éprouver  et ainsi vous connaîtrez les sentiments de toute votre famille.","tu as raison, tu as raison."
"ah quel étrange accident ! mon pauvre maître est mort  que de larmes que de pleurs il nous va coûter ! quel désastre ! s'il était encore mort d'une autre manière","qu'y a-t-il de nouveau, toinette, pour te causer tant de gémissements ?"
"on n'en aurait pas tant de regret ! ah ! que j'en ai de déplaisir ","qu'y a-t-il de nouveau, toinette, pour te causer tant de gémissements ?"
"hélas ! votre père est mort.","mon père est mort, toinette ?"
"ah il ne l'est que trop  et il vient d'expirer entre mes bras d'une faiblesse qui lui a prise.","mon père est mort  et justement dans le temps où il était en colère contre moi par la résistance que je lui ai faite tantôt en refusant le mari qu'il me voulait donner ?"
"ah il ne l'est que trop  et il vient d'expirer entre mes bras d'une faiblesse qui lui a prise.","que deviendrai-je misérable que je suis ?  et comment cacher une chose qui a paru devant tant de personnes ?"
"juste ciel ! que vois-je ? dites, qu'avez-vous, belle angélique ?","ah cléante ne me parlez plus de rien mon père est mort il faut vous dire adieu pour toujours"
"quelle infortune grand dieu ! hélas! après la demande que j'avais prié votre oncle de lui faire de vous je venais moi-même me jeter à ses pieds pour faire un dernier effort afin de vous obtenir.","le ciel ne l'a pas voulu vous devez comme moi vous soumettre à ce qu'il veut  et il faut vous résoudre de me quitter pour toujours. oui mon père"
"quelle infortune grand dieu ! hélas! après la demande que j'avais prié votre oncle de lui faire de vous je venais moi-même me jeter à ses pieds pour faire un dernier effort afin de vous obtenir.","puisque j'ai été assez infortunée pour ne pas faire ce que vous vouliez de moi pendant votre vie du moins ai-je dessein de le réparer après votre mort je veux exécuter votre dernière volonté"
"quelle infortune grand dieu ! hélas! après la demande que j'avais prié votre oncle de lui faire de vous je venais moi-même me jeter à ses pieds pour faire un dernier effort afin de vous obtenir."," et je vais me retirer dans un convent pour y pleurer votre mort pendant tout le reste de ma vie. oui mon cher père souffrez que je vous en donne ici les dernières assurances"
"ah, ma fille…","ha, ha, ha, ha !"
"viens ma chère enfant que je te baise  va je ne suis pas mort je vois que tu es ma fille  et je suis bien aise de reconnaître ton bon naturel.","mon père permettez que je me mette à genoux devant vous pour vous conjurer que si vous ne me voulez pas faire la grâce de me donner cléante pour époux vous ne me refusiez pas celle de ne m'en pas donner un avec lequel je ne puisse vivre."
"eh monsieur, serez-vous insensible à tant d'amour ? et ne peut-on pas vous attendrir par aucun endroit ?","mon frère, avez-vous à consulter, et ne devriez-vous pas déjà l'avoir donnée aux vœux de monsieur ?"
"comment ! vous résisterez à de si grandes marques de tendresse ? là monsieur, rendez-vous.","hé bien, qu'il se fasse médecin, et je lui donne ma fille."
"oui-da monsieur je le veux bien  apothicaire même si vous voulez. je ferais encore des choses bien plus difficiles pour avoir la belle angélique.","mais, mon frère, il me vient une pensée ; faites-vous médecin vous-même plutôt que monsieur."
"moi, médecin ?","oui vous c'est le véritable moyen de vous bien porter   et il n'y a aucune maladie si redoutable qu'elle soit qui ait l'audace de s'attaquer à un médecin."
"tenez, monsieur, votre barbe y peut beaucoup, et la barbe fait plus de la moitié d'un médecin.","vous vous moquez, je crois ; et je ne sais pas un seul mot de latin, comment donc faire ?"
"voila une belle raison ! allez allez il y en a parmi eux qui en savent encore moins que vous  et lorsque vous aurez la robe et le bonnet vous en saurez plus qu'il ne vous en faut.","en tout cas, me voila prêt à faire ce que l'on voudra."
"mais, mon frère, cela ne se peut faire si tôt.","tout à présent si vous voulez  et j'ai une faculté de mes amis fort près d'ici que j'enverrai quérir pour célébrer la cérémonie allez vous préparer seulement"
"allons, voyons, voyons.","quel est donc votre dessein ? et que voulez-vous dire avec cette faculté de vos amis ?"
"c'est un intermède de la réception d'un médecin que des comédiens ont représenté ces jours passés : je les avais fait venir pour le jouer ce soir ici devant nous","mais, mon oncle, il me semble que c'est se railler un peu fortement de mon père."
"afin de nous bien divertir  et je prétends que mon frère y joue le premier personnage.","mais, mon oncle, il me semble que c'est se railler un peu fortement de mon père."
"ce n'est pas tant le railler que de s'accommoder à son humeur outre que pour lui ôter tout suj et de se fâcher quand il aura reconnu la pièce que nous lui jouons","y consentez-vous ?"
"nous pouvons y prendre chacun un rôle  et jouer en même temps que lui.","y consentez-vous ?"
"il le faut bien. c'est une cérémonie burlesque d'un homme qu'on fait médecin, en récit, chant et danse.","savantissimi doctores, medicinæ professores,"
"plusieurs tapissiers viennent préparer la salle  et placer les bancs en cadence. ensuite de quoi toute l'assemblée composée de huit porte-seringues","qui hic assemblati estis ; et vos altri messiores,"
"six apothicaires vingt-deux docteurs  et celui qui se fait recevoir médecin huit chirurgiens dansants  et deux chantants chacun entre  et prend ses places selon les rangs.","sententiarum facultatis fideles executores,"
"il le faut bien. c'est une cérémonie burlesque d'un homme qu'on fait médecin, en récit, chant et danse.","chirurgiani et apothicari, atque tota compania aussi,"
"plusieurs tapissiers viennent préparer la salle  et placer les bancs en cadence. ensuite de quoi toute l'assemblée composée de huit porte-seringues","salus, honor, et argentum, atque bonum appetitum."
"six apothicaires vingt-deux docteurs  et celui qui se fait recevoir médecin huit chirurgiens dansants  et deux chantants chacun entre  et prend ses places selon les rangs.","non possum docti confréri, en moi satis admirari,"
"il le faut bien. c'est une cérémonie burlesque d'un homme qu'on fait médecin, en récit, chant et danse.","qualis bona inventio, est medici professio :"
"plusieurs tapissiers viennent préparer la salle  et placer les bancs en cadence. ensuite de quoi toute l'assemblée composée de huit porte-seringues","quam bella chosa est et bene trovata, medicina illa benedicta,"
"six apothicaires vingt-deux docteurs  et celui qui se fait recevoir médecin huit chirurgiens dansants  et deux chantants chacun entre  et prend ses places selon les rangs.","quæ suo nomine solo surprenanti miraculo,"
"il le faut bien. c'est une cérémonie burlesque d'un homme qu'on fait médecin, en récit, chant et danse.","depuis si longo tempore facit à gogo vivere"
"plusieurs tapissiers viennent préparer la salle  et placer les bancs en cadence. ensuite de quoi toute l'assemblée composée de huit porte-seringues","tant de gens omni genere. per totam terram videmus"
"six apothicaires vingt-deux docteurs  et celui qui se fait recevoir médecin huit chirurgiens dansants  et deux chantants chacun entre  et prend ses places selon les rangs.","grandam vogam ubi sumus ; et quod grandes et petiti"
"il le faut bien. c'est une cérémonie burlesque d'un homme qu'on fait médecin, en récit, chant et danse.","sunt de nobis infatuti : totus mundus currens ad nostros remedios,"
"plusieurs tapissiers viennent préparer la salle  et placer les bancs en cadence. ensuite de quoi toute l'assemblée composée de huit porte-seringues","nos regardat sicut deos, et nostris ordonnanciis"
"six apothicaires vingt-deux docteurs  et celui qui se fait recevoir médecin huit chirurgiens dansants  et deux chantants chacun entre  et prend ses places selon les rangs.","principes et reges soumissos videtis. donque il est nostræ sapientiæ,"
"il le faut bien. c'est une cérémonie burlesque d'un homme qu'on fait médecin, en récit, chant et danse.","boni sensus atque prudentiæ, de fortement travaillare,"
"plusieurs tapissiers viennent préparer la salle  et placer les bancs en cadence. ensuite de quoi toute l'assemblée composée de huit porte-seringues","a nos bene conservare in tali credito, voga, et honore ;"
"six apothicaires vingt-deux docteurs  et celui qui se fait recevoir médecin huit chirurgiens dansants  et deux chantants chacun entre  et prend ses places selon les rangs.","et prandere gardam à non recevere in nostro docto corpore"
"il le faut bien. c'est une cérémonie burlesque d'un homme qu'on fait médecin, en récit, chant et danse.","quam personas capabiles, et totas dignas ramplire"
"plusieurs tapissiers viennent préparer la salle  et placer les bancs en cadence. ensuite de quoi toute l'assemblée composée de huit porte-seringues","has plaças honorabiles. c'est pour cela que nunc convocati estis,"
"six apothicaires vingt-deux docteurs  et celui qui se fait recevoir médecin huit chirurgiens dansants  et deux chantants chacun entre  et prend ses places selon les rangs.","et credo quod trovabitis dignam matieram medici,"
"il le faut bien. c'est une cérémonie burlesque d'un homme qu'on fait médecin, en récit, chant et danse.","in savanti homine que voici : lequel in chosis omnibus"
"plusieurs tapissiers viennent préparer la salle  et placer les bancs en cadence. ensuite de quoi toute l'assemblée composée de huit porte-seringues","dono ad interrogandum, et à fond examinandum"
"six apothicaires vingt-deux docteurs  et celui qui se fait recevoir médecin huit chirurgiens dansants  et deux chantants chacun entre  et prend ses places selon les rangs.","vostris capacitatibus."
"si mihi licenciam dat dominus præses, et tanti docti doctores,","mihi à docto doctore domandatur causam et rationem, quare"
"et assistantes illustres, très savanti bacheliero","opium facit dormire ? a quoi respondeo,"
"quem estimo et honoro, domandabo causam et rationem, quare","quia est in eo virtus dormitiva."
"opium facit dormire ?","cujus es natura sensus assoupire."
"bene, bene, bene, bene respondere dignus, dignus est entrare","cum permissione domini præsidis, doctissimæ facultatis,"
"in nostro docto corpore. bene, bene respondere.","et totius his nostris actis compania assistantis,"
"bene, bene, bene, bene respondere dignus, dignus est entrare","domandabo tibi, docte bacheliere, quæ sunt remedia,"
"in nostro docto corpore. bene, bene respondere.","quæ in maladia dicta hidropisia"
"bene, bene, bene, bene respondere dignus, dignus est entrare","convenit facere."
"clisterium donare, postea seignare,","bene, bene, bene, bene respondere dignus, dignus est entrare"
"ensuitta purgare.","in nostro docto corpore."
"si bonum semblatur domino præsidi, doctissimæ facultati","clisterium donare, postea seignare,"
"et companiæ præsenti, domandabo tibi, docte bacheliere,","ensuitta purgare."
"quæ remedia eticis, pulmonicis atque asmaticis","clisterium donare, postea seignare,"
"trovas à propos facere.","ensuitta purgare."
"bene, bene, bene, bene respondere: dignus, dignus est entrare","super illas maladias, doctus bachelierus dixit maravillas :"
"in nostro docto corpore.","mais si non ennuyo dominum præsidem, doctissimam facultatem,"
"bene, bene, bene, bene respondere: dignus, dignus est entrare","et totam honorabilem companiam écoutantem ;"
"in nostro docto corpore.","faciam illi unam questionem, de hiero maladus unus"
"bene, bene, bene, bene respondere: dignus, dignus est entrare","tombavit in meas manus : habet grandam fiévram cum redoublamentis"
"in nostro docto corpore.","grandam dolorem capitis, et grandum malum au côté,"
"bene, bene, bene, bene respondere: dignus, dignus est entrare","cum granda difficultaté et pena respirare :"
"in nostro docto corpore.","veillas mihi dire, docte bacheliere,"
"bene, bene, bene, bene respondere: dignus, dignus est entrare","quid illi facere."
"clisterium donare, postea seignare,","mais si maladia opiniatria,"
"ensuitta purgare.","non vult se garire, quid illi facere ?"
"clisterium donare, postea seignare,","bene, bene, bene, bene respondere : dignus, dignus est entrare"
"ensuitta purgare.","in nostro docto corpore."
"juras gardare statuta per facultatem præscripta,","juro."
"cum sensu et jugeamento ?","juro."
"essere in omnibus consultationibus","juro."
"ancieni aviso ; aut bono,","juro."
"aut mauvaiso ?","juro."
"de non jamais te servire de remediis aucunis,","juro."
"quam de ceux seulement doctæ facultatis ; maladus dût-il crevare","juro."
"et mori de suo malo ?","juro."
"ego cum isto boneto venerabili et docto,","grandes doctores doctrinæ, de la rhubarbe et du sené :"
"dono tibi et concedo virtutem et puissanciam,","ce serait sans douta à moy chosa folla, inepta et ridicula,"
"medicandi, purgandi,","si j'alloibam m'engageare vobis louangeas donare,"
"seignandi, perçandi,","et entreprenoibam adjoutare des lumieras au soleillo,"
"taillandi, coupandi,","et des etoilas au cielo, des ondas à l'oceano ;"
"et occidendi tous les chirurgiens et apothicaires viennent lui faire la révérence en cadence.","et des rosas au printanno ; agreate qu'avec uno moto"
"ego cum isto boneto venerabili et docto,","pro toto remercimento rendam gratiam corpori tam docto,"
"dono tibi et concedo virtutem et puissanciam,","vobis, vobis debeo bien plus qu'à naturæ, et qu'à patri meo,"
"medicandi, purgandi,","natura et pater meus hominem me habent factum :"
"seignandi, perçandi,","mais vos me, ce qui est bien plus, avetis factum medicum,"
"taillandi, coupandi,","honor, favor, et gratia, qui in hoc corde que voilà,"
"et occidendi tous les chirurgiens et apothicaires viennent lui faire la révérence en cadence.","imprimant ressentimenta qui dureront in secula."
"vivat, vivat, vivat, vivat, cent fois vivat novus doctor, qui tam bene parlat,","puisse-t-il voir doctas suas ordonnancias,"
"mille, mille annis, et manget et bibat, tous les chirurgiens et les apothicaires dansent au son des instruments ","omnium chirurgorum, et apotiquarum"
"et des voix  et des battements de mains  et des mortiers d'apothicaires.","remplire boutiquas"
